kor,eng
가,Ga
가가,Gaga
가개,Gagae
가건,"Gageon, Gagun"
가결,"Gagyeol, Gagyul, Gagyoul"
가겸,"Gagyeom, Gagyum, Gagyoum"
가경,"Gagyeong, Gagyung, Gagyoung"
가곤,Gagon
가관,"Gagwan, Gagoan"
가굉,"Gagoeng, Gagoing"
가교,Gagyo
가국,"Gagook, Gaguk, Gagoock, Gaguck, Gagoog, Gagug"
가군,"Gagoon, Gagun"
가권,"Gagwon, Gaguon"
가귀,Gagwi
가규,Gagyu
가균,Gagyun
가근,"Gageun, Gagun"
가금,"Gageum, Gagum"
가기,Gagi
가나,Gana
가날,Ganal
가남,Ganam
가내,Ganae
가냥,Ganyang
가년,"Ganyeon, Ganyun, Ganyoun"
가녕,"Ganyeong, Ganyung, Ganyoung"
가논,Ganon
가농,Ganong
가누,"Ganoo, Ganu"
가뉴,Ganyu
가늠,"Ganeum, Ganum"
가능,"Ganeung, Ganung"
가니,Gani
가단,Gadan
가담,Gadam
가대,Gadae
가덕,"Gadeok, Gaduck, Gadug"
가도,Gado
가돌,Gadol
가동,Gadong
가득,"Gadeuk, Gaduck, Gadug"
가든,"Gadeun, Gadun"
가등,"Gadeung, Gadung"
가라,Gara
가락,"Garak, Garack, Garag"
가란,Garan
가람,Garam
가랑,Garang
가량,Garyang
가려,"Garyeo, Garyu, Garyou"
가련,"Garyeon, Garyun, Garyoun"
가렬,"Garyeol, Garyul, Garyoul"
가렴,"Garyeom, Garyum, Garyoum"
가령,"Garyeong, Garyung, Garyoung"
가로,Garo
가록,"Garok, Garock, Garog"
가론,Garon
가롬,Garom
가룡,Garyong
가루,"Garoo, Garu"
가룬,"Garoon, Garun"
가륜,Garyun
가률,Garyul
가름,"Gareum, Garum"
가리,Gari
가린,Garin
가림,Garim
가립,Garib
가만,Gaman
가명,"Gamyeong, Gamyung, Gamyoung"
가목,"Gamok, Gamock, Gamog"
가몬,Gamon
가묘,Gamyo
가무,"Gamoo, Gamu"
가문,"Gamoon, Gamun"
