kor,eng
來현,Hyeon
가,Ga
가가,Gaga
가개,Gagae
가건,Gageon
가결,Gagyeol
가겸,Gagyeom
가경,Gagyeong
가곤,Gagon
가관,Gagwan
가굉,Gagoeng
가교,Gagyo
가국,Gaguk
가군,Gagun
가권,Gagwon
가귀,Gagwi
가규,Gagyu
가균,Gagyun
가근,Gageun
가금,Gageum
가기,Gagi
가나,Gana
가날,Ganal
가남,Ganam
가내,Ganae
가냥,Ganyang
가년,Ganyeon
가녕,Ganyeong
가논,Ganon
가농,Ganong
가누,Ganu
가뉴,Ganyu
가늠,Ganeum
가능,Ganeung
가니,Gani
가단,Gadan
가담,Gadam
가대,Gadae
가덕,Gadeok
가도,Gado
가돌,Gadol
가동,Gadong
가득,Gadeuk
가든,Gadeun
가등,Gadeung
가라,Gara
가락,Garak
가란,Garan
가람,Garam
가랑,Garang
가량,Garyang
가려,Garyeo
가련,Garyeon
가렬,Garyeol
가렴,Garyeom
가령,Garyeong
가로,Garo
가록,Garok
가론,Garon
가롬,Garom
가룡,Garyong
가루,Garu
가룬,Garun
가륜,Garyun
가률,Garyul
가름,Gareum
가리,Gari
가린,Garin
가림,Garim
가립,Garip
가만,Gaman
가명,Gamyeong
가목,Gamok
가몬,Gamon
가묘,Gamyo
가무,Gamu
가문,Gamun
가미,Gami
가민,Gamin
가밀,Gamil
가방,Gabang
가배,Gabae
가백,Gabaek
가범,Gabeom
가별,Gabyeol
가보,Gabo
가본,Gabon
가봄,Gabom
가부,Gabu
가분,Gabun
가붕,Gabung
가비,Gabi
가빈,Gabin
가빔,Gabim
가빙,Gabing
가빛,Gabit
가사,Gasa
가산,Gasan
가생,Gasaeng
가서,Gaseo
가석,Gaseok
가선,Gaseon
가설,Gaseol
가섭,Gaseop
가성,Gaseong
가세,Gase
가솔,Gasol
가송,Gasong
가수,Gasu
가숙,Gasuk
가순,Gasun
가슬,Gaseul
가승,Gaseung
가신,Gasin
가실,Gasil
가심,Gasim
가아,Gaa
가안,Gaan
가암,Gaam
가앙,Gaang
가애,Gaae
가앨,Gaael
가앵,Gaaeng
가야,Gaya
가약,Gayak
가얀,Gayan
가양,Gayang
가어,Gaeo
가언,Gaeon
가얼,Gaeol
가에,Gae
가엘,Gael
가여,Gayeo
가연,Gayeon
가열,Gayeol
가염,Gayeom
가엽,Gayeop
가영,Gayeong
가예,Gaye
가오,Gao
가옥,Gaok
가온,Gaon
가올,Gaol
가와,Gawa
가완,Gawan
가왕,Gawang
가요,Gayo
가용,Gayong
가우,Gau
가욱,Gauk
가운,Gaun
가울,Gaul
가움,Gaum
가웅,Gaung
가원,Gawon
가월,Gawol
가위,Gawi
가유,Gayu
가윤,Gayun
가율,Gayul
가은,Gaeun
